"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured"
82,PETOS,petos,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,,,,,,
83,BATAS,batas,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,1,http://134.122.26.138/wp-content/uploads/2020/06/OVEROL-GABARDINA-NEGRO.jpg,"OVEROL GABARDINA NEGRO",,,,
84,MANDIL,mandil,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,,,,,,
85,FORNITURAS,fornituras,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,http://134.122.26.138/wp-content/uploads/2020/06/OVEROL-MARINO-DE-GABARDINA-100-ALGODON-2.png|http://134.122.26.138/wp-content/uploads/2020/06/BATA-DE-GABARDINA-100-ALGODON.png,"OVEROL MARINO DE GABARDINA 100 % ALGODON|BATA DE GABARDINA 100% ALGODON",|,|,|,
86,HEBILLAS,hebillas,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,,,,,,
87,SILVATO,silvato,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,,,,,,
88,TOLETE,tolete,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,http://134.122.26.138/wp-content/uploads/2020/06/PANTALON-DE-MEZCLILLA-DE-14-OZ-.-100-ALGODON.png,"PANTALON DE MEZCLILLA DE 14 OZ . 100 % ALGODON",,,,
89,MASCARILLA,mascarilla-cabeza,,18,CABEZA,cabeza,0,,,,,,
90,"CALZADO IMPERMEABLE",calzado-impermeable,,28,CALZADO,calzado,0,http://134.122.26.138/wp-content/uploads/2020/06/CHALECO-FOTOGRAFO-100-ALGODON.jpg|http://134.122.26.138/wp-content/uploads/2020/06/esquinero-columnas.png,"CHALECO FOTOGRAFO 100 % ALGODON|esquinero columnas",|,|,|,
113,MARCA,marca,,0,,,0,,,,,,
114,SELESI,selesi,,113,MARCA,marca,0,,,,,,
115,EXTINFLAM,extinflam,,113,MARCA,marca,0,,,,,,
116,"MR SEGURIDAD",mr-seguridad,,113,MARCA,marca,11,,,,,,
117,IPF,ipf,,113,MARCA,marca,9,,,,,,
118,"VERTICE INDUSTRIAL",vertice-industrial,,113,MARCA,marca,0,,,,,,
119,PROLUME,prolume,,113,MARCA,marca,0,,,,,,
120,HERHILD,herhild,,113,MARCA,marca,5,,,,,,
121,DERMACARE,dermacare,,113,MARCA,marca,0,,,,,,
122,"LOS ANGELES",los-angeles,,113,MARCA,marca,0,,,,,,
123,"HERRAMIENTAS ACZ",herramientas-acz,,113,MARCA,marca,0,,,,,,
124,AXIOMA,axioma,,113,MARCA,marca,0,,,,,,
125,"ALTURA SEGURA",altura-segura,,113,MARCA,marca,4,,,,,,
126,"BY LACK SEGURIDAD",by-lack-seguridad,,113,MARCA,marca,0,,,,,,
127,ABASTECEDORA,abastecedora,,113,MARCA,marca,0,,,,,,
128,VALLEN,vallen,,113,MARCA,marca,0,,,,,,
129,"VAN VIEN",van-vien,,113,MARCA,marca,0,,,,,,
130,CRUCERO,crucero,,113,MARCA,marca,0,,,,,,
131,RADELG,radelg,,113,MARCA,marca,0,,,,,,
132,"95/24 MÉXICO",95-24-mexico,,113,MARCA,marca,0,,,,,,
